text,author,date,title
"öncelikle; (bkz:fatih terim'in derbiden sonra covid-19 kapması)demek ki fatih terim ve abdürrahim albayrak derbi sonrası, yani ligler tatil edildikten sonra sosyal çevrelerinden bu virüsü kaptılar.tekrar geçmiş olsun. acil şifalar.https://twitter.com/…tatus/1242477257949474819?s=19",hamsikerim,24.03.2020 19:10 ~ 19:13,beşiktaş covid-19 testlerinin negatif çıkması
öncelikle fatih terim’e geçmiş olsun dileklerimi iletmek isterim.gelen haberlere göre beşiktaş cephesinde yapılan testlerde herhangi bir olumsuz duruma rastlanmadı. demek ki gs-bjk maçının oynanması ile terim’in hasta olması arasında herhangi bir bağ yokmuş. dünkü “maç neden oynandı” yaygarası biraz havada kalmış oldu. bu vesileyle abdürrahim albayrak ve fatih terim’e bir kez daha geçmiş olsun dileklerimi iletiyorum.,kendi kalesine gol atan kaleci,24.03.2020 19:14,beşiktaş covid-19 testlerinin negatif çıkması
tinerin coronavirüs'e iyi geldiğini gösterebilecek haber. canan karatay ve oytun erbaş'ın bu konuyu araştırması lazım.,gur kasli kemalist,24.03.2020 19:14,beşiktaş covid-19 testlerinin negatif çıkması
beşiktaş ve negatif kelimesini ilk defa yan yana görünce sevindim.geçmiş olsun.,teknik olmayan direktor,24.03.2020 19:15,beşiktaş covid-19 testlerinin negatif çıkması
beşiktaşımızı galatasaraylılardan allah korumuş.(bkz:mustafa cengiz'in seyircili derbi ısrarı),qbzilla,24.03.2020 19:16 ~ 19:22,beşiktaş covid-19 testlerinin negatif çıkması
maç oynandığı zaman teknik ekibin ve oyuncuların yalnızca karşı takımın oyuncuları ve teknik ekibi ile iletişim kurduğunu sanan malları ortaya çıkaran başlık.,kien,24.03.2020 19:16,beşiktaş covid-19 testlerinin negatif çıkması
"""sadece semptom gösterenlere test yapılıyor, o yüzden boşuna test istemeyin"" diyenlere kapak olmuştur umarım.ünlü olunca istediğin gibi semptom göstermeden de test yaptırabiliyorsun.ki doğrusu da semptom gösterilmese de pozitif olanların çevrelerine bu test yapılmalı. kaç gündür yeterli test yapılıyor diyenler için söylüyorum bunu. yeterli test yakın çevrenin hepsine yaparak olur. amaç izole etmek. pozitifleri tespit edip, semptom göstermese de çevresine yaymasının önüne geçmek.bir de test gayet çabuk çıkıyormuş onu da görmüş olduk. günlerdir test sonucu bekleyen insanlar neyi bekliyor? ya da bu kadar çabuk oluyorsa test sayısı neden bu kadar sınırlı?kafamda deli sorular.",berkalettin,24.03.2020 19:19,beşiktaş covid-19 testlerinin negatif çıkması
şükürler olsun hepsi iyiymiş.şimdi fatih terim ve albayrak sorumlu kimse başka yerde arasın. sağlık sorununu kullanıp başka yerlere algı kasmasın.,blackline,24.03.2020 19:21 ~ 19:24,beşiktaş covid-19 testlerinin negatif çıkması
süper haber.fatih terime de geçmiş olsun umarım düzelirler albayrak reyizle. yalnız hala tiner esprisi kasan beyinsizlerden kurtulun. bu sağlık! hıyar herif ya.p.s sergen jk.,are you trippy,24.03.2020 19:26,beşiktaş covid-19 testlerinin negatif çıkması
ayrı bu saatten sonra diyelim ki 5 gün sonra pozitif çıkarsa bile bizden onlara değil onlardan bize bulaştığını gösterir. suçlu aramaya devam edip bize sövecekler mi hala?,istatistikci1903,24.03.2020 19:30,beşiktaş covid-19 testlerinin negatif çıkması
"bık bık öten, bela okuyan yüzsüzler, şimdi ne diyecek bakalım? tinere yaklaşmıyor, ondan mı kapmadılar diyecek?",eoamt,24.03.2020 19:31,beşiktaş covid-19 testlerinin negatif çıkması
"ulan ne gerizekalılar var ya. bjk’liler de temiz çıkması o gün bulaşmadığı anlamına gelmez. stadyumda, güvenlikçiler, top toplayıcılar, basın yoluyla geçme ihtimali yok mu ha beyinsiz kardeş.fatih terim’in haklı çıkması nasıl koyduysa @kendi kalesine gol atan kaleci adlı yazar her başlığa girip bak bjklilerde negatif fatih terim haksız diye entry giriyor. kardeşim fatih terim’in koyduğu çocuk öyle bir testle belli olmaz 2-3 gebelik testi de yaptırıp öyle yazsaydın sonucu",zingildamayin,24.03.2020 19:33 ~ 19:43,beşiktaş covid-19 testlerinin negatif çıkması
duzenli takip edilmesi gerekir.,ucdanebimelyon,24.03.2020 19:40,beşiktaş covid-19 testlerinin negatif çıkması
"(bkz:abdurrahim albayrak)neymiş, maç oynandığı için virüs bulaşmışmış. neyseki bunlar yüzünden bizim takım da güme gidecekmiş az kalsın.",incir agaci golgesinde,24.03.2020 19:48,beşiktaş covid-19 testlerinin negatif çıkması
(bkz:işin rengi değişti),axiwelet,24.03.2020 19:49,beşiktaş covid-19 testlerinin negatif çıkması
demek ki maçla alakası yok. uğursuz albayrak kesin.ayrıca albayrak eşinden kapmış deniyor.,simplyblue,24.03.2020 19:51 ~ 19:59,beşiktaş covid-19 testlerinin negatif çıkması
niye maçla alakası yok onu anlamadım belki maç yüzünden bulaştı bu adamlara. o maç hiç oynanmamalıydı lamı cimi yok. ha çıkıp çıkarına göre açıklama yapan futbolcu yöneticidende hoşlanmıyorum.,attan dusen inek,24.03.2020 19:55,beşiktaş covid-19 testlerinin negatif çıkması
şanlı beşiktaşim hakkımda ne zaman bir pozitif gelişme olduki zaten aq,yea1453,24.03.2020 19:56,beşiktaş covid-19 testlerinin negatif çıkması
"oncelikle fatih terime gecmis olsun, dilerim tez zamanda iyilesip sagligina kavusur.maci seyircili oynatmak isteyen galatasaraylilar, donup dolasip mac oynatildigi icin terim hasta oldu gibi bir algi yaratma pesindeler. fatih terim sosyal cevresinden, aile bireylerinden yada kendi kulubu icersindeki sporculardan virusu kapmis olabilir, bu virus hizla yayiliyor, sunun yuzunden oldu bunun yuzunden oldu diye eline camur alip gezmek, butun sucu rakiplere atarak hala cikar pesinde kosmaya calismak ahlaksizliktir.",nihilistic delusion,24.03.2020 19:57,beşiktaş covid-19 testlerinin negatif çıkması
"derbiye yüklenene kadar albayrak ve diğerlerinin derbiden sonra nerelere gittikleri, kimlerle görüştükleri incelenirse asıl kaynak ortaya çıkabilir.dünkü muhabbet olayın sıcaklığıyla kurban arama muhabbetiydi.top toplayıcı, basın vs vs denmiş, e tabi bunlar beşiktaşlılarla hiç muhatap olmadılar.neyse bir fatih hoca ve galatasaray'a geçmiş olsun.",maximum,24.03.2020 20:00,beşiktaş covid-19 testlerinin negatif çıkması
bu maçı haklı mı çıkarır? belki de maç oynanacağı için temas kurulması gereken*birilerinden bulaşmıştır. biz bjk’den mi bulaştı dedik aq?tanım: arsızların oynanmaması gereken maçı aklama çabaları.,cupakabrakazim,24.03.2020 20:02,beşiktaş covid-19 testlerinin negatif çıkması
bunlar tam bir geri zekalı ya bir söz var dinde; sebep olan yapan gibidir,django0,24.03.2020 20:07,beşiktaş covid-19 testlerinin negatif çıkması
şükürler olsun.galatasaray başkanı dinlenseydi derbi seyircili oynanacaktı. tüm tedbirleri aldık demişti.neyse ki seyircisiz oynanan maçta da hastalık henüz yokmuş ki negatif çıktı beşiktaş ekibi.hastalananlara tekrar geçmiş olsun.,quotron,24.03.2020 20:25 ~ 20:26,beşiktaş covid-19 testlerinin negatif çıkması
"size kim dedi virüs beşiktaşlılardan geldi diye? bu ne saçmalık? tiner diyince kızıyorsunuz da hangi kafa bu?virüsün kaynağı ya albayrak ya başka bir şey, çok şükür beşiktaş cephesinde sorun yokmuş. umarım o statta olan başka kimsede bir şey yoktur.",black focus,24.03.2020 20:29 ~ 20:30,beşiktaş covid-19 testlerinin negatif çıkması
"sevindirici gelişmedir.galatasaraylılara maçta mı bulaştı maçla alakası olmayan başka bir şekilde mi bulaştı bilmiyorum. ancak sormak isterim. dünden beri federasyona ve beşiktaşlılara küfreden galatasaraylılar, virüs bulaşmasının maç ile ilintili olduğuna nasıl bu kadar emin oluyorlar? bir soru daha, ya maçtan sonra bulaştıysa edilen beddua ve küfürlerden utanacak mısınız?",liku it,24.03.2020 20:32,beşiktaş covid-19 testlerinin negatif çıkması
bu süper boktan günlerde mutlu eden haberdir.beşiktaş camiasına büyük geçmiş olsun.,khellendros,24.03.2020 20:52,beşiktaş covid-19 testlerinin negatif çıkması
"bazıları demek ki fatih terim’e maçta olmamış diye seviniyor.oğlum gerçekten ne yaşıyorsunuz ya. terim maçtan önce kapmış olabilirdi, bir galatasaraylı futbolcuya bulaştırmış olabilirdi, o da 11 beşiktaşlıya onlar da tüm kulübe bulaştırmış olabilirdi.olmamış olması bu ihtimali gözardı etmeyi gerektirmez. olay terim’in nerede kaptığı değil bu tehlike varken maçı oynatmaktı.1 puanı aldınız, kına yakın!",daha cok beklicez mi abi,24.03.2020 20:56,beşiktaş covid-19 testlerinin negatif çıkması
"hani herkes eşitti, yine fakirler sıralara girip beklesin sonra test yaptıramadan geri dönsünler.",fistikbenimolacak,24.03.2020 20:58,beşiktaş covid-19 testlerinin negatif çıkması
"çok sevindiren gelişmedir. yine de ne olur ne olmaz diyerek önlemlerini almalı beşiktaş kulübü. bunun yanında biz galatasaraylıların tepkisinin beşiktaş’la hiçbir alakası yok. bizim tepkimizin kimlere olduğu belli. abdurrahim başkana ve hocaya virüsün nasıl,nerede ve ne zaman bulaştığı halen belli değil.bakın şampiyonluk,derbi galibiyeti ya da gelecek maddi kaynaklar zerre umrumda değil. benim derdim insanlar. o stadda 1000 tane görevli vardı o gün.",faizlobisinincaycisi,24.03.2020 20:58,beşiktaş covid-19 testlerinin negatif çıkması
beşiktaş’ın aldığı aksiyonu çok değerli buluyorum. bu sayede olayın başka yerlere çekilmesi engellenmiş oldu en azından bu süreç hiç bir şart ve koşulda beşiktaş ile ilişkilendirilemeyecek.,maksimaks,24.03.2020 21:00,beşiktaş covid-19 testlerinin negatif çıkması
doğruysa beşiktaşım ucuz atlatmış dediğim güzel haberdir.gs'den virüs kapılabilirdi.,balthazar blake,24.03.2020 21:01,beşiktaş covid-19 testlerinin negatif çıkması
"bu adamların gerçekten anlama kıtlığı var yada cidden tiner içiyorlar! beşiktaş maçı için futbolcular 1 haftadır tesislerde antrenman yapıyor. ligler 4,5 gün önce ertelense bu adamlar antrenman yapmayacak ve virüs kapmayacaktı.",mr zecg,24.03.2020 21:06,beşiktaş covid-19 testlerinin negatif çıkması
"ekşi sözlük beyni yanmış tim geldiğine göre anlatalım arkadaşlar çok futbolla alakalı değilim ama salak mısınız teknik heyet ve beşiktaş oyuncularında çıkmaması o saha da kapmadıklarını nasıl açıklayabilir? top toplayıcılara yapılmış mı? saha görevlilerine bu test yapılmış , hakemlere yapılmış mı? bu saydıklarım ilk temas edecekleri insanları ve niceleri daha vardır şöföründen tutun kaldıkları yere kadar önem arz eder.bir fenerbahçeli olarak fatih terim ve abdurrahim albayrak'a geçmiş olsun dileklerimle",sadecegerceklerikonusanadam,24.03.2020 21:07,beşiktaş covid-19 testlerinin negatif çıkması
bir kaç gün sonra tekrarlanmalı. çünkü pozitif çıkabiliyor.,metalpago,24.03.2020 21:10,beşiktaş covid-19 testlerinin negatif çıkması
hiç kimse galatasaray beşiktaştan virüs kaptı diye ibne ibne konuşmasın. çok net söylüyorum ibnelik yapmayın.yukarıda birkaç ibne görüyorum onlar için söyledim.,maksimaks,24.03.2020 21:11,beşiktaş covid-19 testlerinin negatif çıkması
öncelikle belirteyim sevindirici haber. tüm beşiktaş camiasına geçmiş olsun.demek derbide kapmamış fatih terim. o zaman maçları oynatabiliriz. hatta beşiktaş başkanının önerisi çok zekiceydi onu uygulayalım.,random nick,24.03.2020 21:16,beşiktaş covid-19 testlerinin negatif çıkması
"gsliler pisliğinizi bize bulastirmayın.boylece,federeasyon ve hükümete sallayanlar yavaş yavaş entry silmeye başlayabilirler.*",isteoylesine,24.03.2020 21:18,beşiktaş covid-19 testlerinin negatif çıkması
algıcı sarışın orospuların uğramayacağı başlık olacaktır biz inadına gündemde tutalım,siparisi koreden 75 gunde gelen adam,24.03.2020 21:45,beşiktaş covid-19 testlerinin negatif çıkması
